label_id	ganglion_id	merged_bilateral_ganglion_id	ganglion_name	ganglion_name_short	gangliaColourScheme
378	14.0	7.0	frontal ganglion	FG	255-15-187-253
381	14.0	7.0	frontal ganglion	FG	255-15-187-253
382	19.0		None	None	None
383	19.0		None	None	None
384	19.0		None	None	None
385	19.0		None	None	None
386	19.0		None	None	None
387	19.0		None	None	None
388	19.0		None	None	None
389	9.0	5.0	antennal ganglia	AG	255-138-205-0
390	9.0	5.0	antennal ganglia	AG	255-138-205-0
391	9.0	5.0	antennal ganglia	AG	255-138-205-0
392	9.0	5.0	antennal ganglia	AG	255-138-205-0
393	19.0		None	None	None
396	2.0	1.0	palpal ganglia	PG	255-181-131-84
397	19.0		None	None	None
398	2.0	1.0	palpal ganglia	PG	255-181-131-84
399	2.0	1.0	palpal ganglia	PG	255-181-131-84
400	2.0	1.0	palpal ganglia	PG	255-181-131-84
401	2.0	1.0	palpal ganglia	PG	255-181-131-84
403	14.0	7.0	frontal ganglion	FG	255-15-187-253
404	2.0	1.0	palpal ganglia	PG	255-181-131-84
405	14.0	7.0	frontal ganglion	FG	255-15-187-253
406	19.0		None	None	None
407	19.0		None	None	None
408	19.0		None	None	None
409	19.0		None	None	None
410	14.0	7.0	frontal ganglion	FG	255-15-187-253
411	19.0		None	None	None
412	19.0		None	None	None
413	19.0		None	None	None
414	19.0		None	None	None
415	19.0		None	None	None
416	19.0		None	None	None
417	9.0	5.0	antennal ganglia	AG	255-138-205-0
418	19.0		None	None	None
419	19.0		None	None	None
420	2.0	1.0	palpal ganglia	PG	255-181-131-84
421	11.0	6.0	circumpalpal ganglia	CpG	255-255-203-255
422	19.0		None	None	None
423	11.0	6.0	circumpalpal ganglia	CpG	255-255-203-255
424	2.0	1.0	palpal ganglia	PG	255-181-131-84
425	19.0		None	None	None
426	19.0		None	None	None
427	19.0		None	None	None
428	10.0	5.0	antennal ganglia	AG	255-138-205-0
429	19.0		None	None	None
430	19.0		None	None	None
431	19.0		None	None	None
433	19.0		None	None	None
434	11.0	6.0	circumpalpal ganglia	CpG	255-255-203-255
435	19.0		None	None	None
436	11.0	6.0	circumpalpal ganglia	CpG	255-255-203-255
437	19.0		None	None	None
438	19.0		None	None	None
439	19.0		None	None	None
440	19.0		None	None	None
441	10.0	5.0	antennal ganglia	AG	255-138-205-0
442	19.0		None	None	None
443	19.0		None	None	None
444	19.0		None	None	None
445	19.0		None	None	None
446	10.0	5.0	antennal ganglia	AG	255-138-205-0
447	10.0	5.0	antennal ganglia	AG	255-138-205-0
448	19.0		None	None	None
449	1.0	1.0	palpal ganglia	PG	255-181-131-84
450	19.0		None	None	None
451	19.0		None	None	None
453	19.0		None	None	None
454	19.0		None	None	None
455	19.0		None	None	None
456	19.0		None	None	None
457	19.0		None	None	None
458	19.0		None	None	None
459	1.0	1.0	palpal ganglia	PG	255-181-131-84
460	19.0		None	None	None
461	19.0		None	None	None
462	1.0	1.0	palpal ganglia	PG	255-181-131-84
463	19.0		None	None	None
464	19.0		None	None	None
465	1.0	1.0	palpal ganglia	PG	255-181-131-84
466	19.0		None	None	None
467	19.0		None	None	None
468	1.0	1.0	palpal ganglia	PG	255-181-131-84
472	1.0	1.0	palpal ganglia	PG	255-181-131-84
474	19.0		None	None	None
475	1.0	1.0	palpal ganglia	PG	255-181-131-84
476	19.0		None	None	None
477	19.0		None	None	None
478	19.0		None	None	None
479	19.0		None	None	None
480	1.0	1.0	palpal ganglia	PG	255-181-131-84
481	19.0		None	None	None
482	1.0	1.0	palpal ganglia	PG	255-181-131-84
483	19.0		None	None	None
484	19.0		None	None	None
485	19.0		None	None	None
486	19.0		None	None	None
487	19.0		None	None	None
488	19.0		None	None	None
489	18.0	9.0	mushroom bodies	MB	255-161-3-0
490	19.0		None	None	None
491	14.0	7.0	frontal ganglion	FG	255-15-187-253
492	14.0	7.0	frontal ganglion	FG	255-15-187-253
494	19.0		None	None	None
495	1.0	1.0	palpal ganglia	PG	255-181-131-84
496	19.0		None	None	None
497	9.0	5.0	antennal ganglia	AG	255-138-205-0
498	19.0		None	None	None
499	19.0		None	None	None
500	19.0		None	None	None
501	19.0		None	None	None
502	2.0	1.0	palpal ganglia	PG	255-181-131-84
503	19.0		None	None	None
504	19.0		None	None	None
505	19.0		None	None	None
506	19.0		None	None	None
507	2.0	1.0	palpal ganglia	PG	255-181-131-84
