label_id	anchor_x	anchor_y	anchor_z	bb_min_x	bb_min_y	bb_min_z	bb_max_x	bb_max_y	bb_max_z	n_points	cell_id	nucleus_id
189.0	158.24	187.68	40.5	136.0	164.72	11.5	184.72	194.16	66.8	805.0	1667.0	0.0
191.0	184.16	187.12	62.1	138.08	167.12	12.7	184.24	195.92	62.7	841.0	1667.0	0.0
193.0	186.96	192.4	70.7	136.48	166.16	10.2	205.44	193.76	72.4	856.0	1667.0	0.0
195.0	161.6	185.04	49.9	138.24	160.24	15.6	162.96	187.2	50.0	485.0	1667.0	0.0
197.0	163.12	184.32	46.3	135.92	165.36	13.7	163.68	187.52	48.5	546.0	1667.0	0.0
199.0	158.64	188.48	38.9	136.64	165.44	9.2	163.6	188.96	53.2	555.0	1667.0	0.0
201.0	187.84	165.84	34.9	138.64	165.52	15.3	188.08	187.76	49.3	924.0	1667.0	0.0
203.0	186.32	167.44	34.5	143.36	166.96	10.8	186.88	189.36	48.8	1249.0	1667.0	0.0
205.0	133.76	174.0	57.6	133.6	170.88	6.5	160.48	192.0	57.7	744.0	4374.0	0.0
207.0	206.8	143.04	54.2	141.6	143.04	6.5	209.68	195.6	67.1	1341.0	1667.0	0.0
209.0	178.08	191.44	55.6	167.2	191.44	53.1	179.84	219.28	71.9	415.0	1667.0	0.0
21.0	203.68	173.44	67.8	203.6	166.0	63.4	224.96	175.76	69.4	669.0	1667.0	0.0
211.0	209.76	184.72	52.5	167.44	181.44	47.4	212.08	215.2	60.8	1058.0	1667.0	0.0
213.0	202.24	183.84	59.7	163.84	176.08	51.5	206.8	225.68	65.2	1044.0	1667.0	0.0
215.0	191.76	187.92	61.9	169.52	185.68	50.8	194.0	216.72	64.2	817.0	1667.0	0.0
216.0	206.56	192.08	61.0	164.4	184.08	49.4	208.08	225.36	68.5	1273.0	1667.0	0.0
218.0	213.36	190.64	58.2	163.2	183.68	50.6	216.64	218.08	68.1	1043.0	1667.0	0.0
220.0	181.44	190.88	52.5	163.52	190.16	51.9	181.68	224.96	67.4	584.0	1667.0	0.0
222.0	192.8	182.32	51.9	166.08	177.28	40.7	198.0	210.64	68.0	1816.0	1667.0	0.0
223.0	170.0	198.32	55.3	166.72	195.68	50.1	173.2	218.96	60.7	274.0	1667.0	0.0
225.0	191.68	183.76	60.4	169.28	183.44	51.3	191.84	217.92	60.5	847.0	1667.0	0.0
226.0	168.0	195.28	53.1	159.76	195.28	53.1	169.84	225.12	65.9	266.0	1667.0	0.0
228.0	193.92	191.2	50.9	152.96	166.96	43.2	211.36	223.2	60.6	1836.0	1667.0	0.0
230.0	206.08	157.2	54.2	200.8	137.2	52.9	239.52	179.36	65.6	1201.0	1667.0	0.0
232.0	203.68	173.36	64.8	197.92	138.48	52.6	240.32	187.84	66.2	1179.0	1667.0	0.0
234.0	197.28	175.28	61.9	196.72	144.0	51.9	234.08	178.32	63.9	1321.0	1667.0	0.0
236.0	200.64	182.4	60.5	195.6	143.28	52.3	241.84	183.6	65.1	1230.0	1667.0	0.0
238.0	210.56	156.0	56.5	208.08	144.64	54.7	224.0	156.08	64.0	203.0	1667.0	0.0
240.0	211.44	170.56	55.6	200.32	143.6	53.2	230.88	174.64	65.1	756.0	1667.0	0.0
242.0	210.96	180.16	66.7	199.28	138.96	52.1	240.24	195.68	67.3	1475.0	1667.0	0.0
244.0	209.92	156.88	55.8	209.84	132.64	55.4	227.52	157.28	58.8	251.0	1667.0	0.0
246.0	210.8	147.12	57.3	209.28	135.68	54.9	229.6	148.48	59.0	189.0	1667.0	0.0
248.0	199.44	172.32	41.0	197.36	128.8	39.5	225.76	178.88	60.3	1364.0	1667.0	0.0
249.0	201.36	177.36	64.7	200.16	138.72	53.6	241.36	198.16	69.6	1140.0	1667.0	0.0
251.0	200.48	170.56	67.4	198.72	136.16	53.5	225.52	176.08	68.4	1452.0	1667.0	0.0
253.0	205.04	160.48	59.2	201.36	124.88	54.0	232.32	162.24	59.5	759.0	1667.0	0.0
255.0	203.6	176.48	45.5	194.0	132.64	39.2	223.12	178.24	60.3	1277.0	1667.0	0.0
257.0	208.64	158.48	54.9	194.08	140.8	41.4	226.64	177.36	63.1	1867.0	1667.0	0.0
259.0	163.36	187.44	51.2	156.56	164.64	4.9	173.6	187.68	53.4	804.0	1667.0	0.0
26.0	211.28	152.32	0.6	208.16	151.84	0.1	223.92	171.84	37.5	538.0	14.0	0.0
261.0	161.44	188.48	52.7	155.76	163.68	5.2	173.12	190.0	52.8	721.0	1667.0	0.0
263.0	163.76	185.6	45.9	152.4	162.64	4.2	169.36	188.16	46.0	833.0	1667.0	0.0
265.0	169.92	180.72	52.4	156.96	163.6	5.7	173.84	185.36	52.5	723.0	1667.0	0.0
269.0	164.16	190.48	51.8	157.12	167.76	10.1	172.72	192.96	51.9	536.0	1667.0	0.0
271.0	158.88	187.68	45.4	153.68	161.76	4.9	174.96	192.88	57.6	811.0	1667.0	0.0
273.0	162.32	186.16	38.5	156.0	168.72	9.6	169.12	189.92	41.1	282.0	1667.0	0.0
275.0	161.36	183.36	46.8	156.4	164.08	4.8	176.88	184.8	56.5	786.0	1667.0	0.0
277.0	163.12	190.0	41.6	155.68	167.68	7.8	169.12	190.88	42.0	411.0	1667.0	0.0
279.0	163.04	191.36	42.1	155.76	168.56	12.4	170.56	191.44	42.7	472.0	1667.0	0.0
281.0	162.16	193.84	45.3	154.56	163.76	4.8	178.08	195.28	48.3	589.0	1667.0	0.0
283.0	162.8	193.52	42.1	157.12	168.24	9.7	174.8	193.6	43.5	502.0	1667.0	0.0
285.0	160.4	191.12	45.5	154.8	164.72	4.6	172.24	194.4	46.6	569.0	1667.0	0.0
287.0	159.68	189.6	46.6	157.68	167.12	8.8	177.52	191.84	47.6	768.0	1667.0	0.0
289.0	213.36	178.32	57.5	202.24	158.08	54.2	226.24	197.52	72.3	690.0	1667.0	0.0
291.0	212.56	182.72	57.2	204.72	154.48	54.6	226.08	194.64	74.3	599.0	1667.0	0.0
293.0	209.68	162.4	61.9	200.88	153.44	57.6	224.4	172.48	74.1	1298.0	1667.0	0.0
295.0	211.12	181.52	58.0	204.72	160.08	54.5	232.0	195.04	73.3	615.0	1667.0	0.0
297.0	213.44	185.04	57.2	204.4	150.16	54.1	227.84	196.16	78.5	606.0	1667.0	0.0
299.0	205.12	192.64	56.8	205.12	155.04	54.9	230.4	192.72	80.9	610.0	1667.0	0.0
3.0	209.36	179.68	56.8	209.04	164.64	56.8	220.8	179.76	68.8	499.0	1667.0	0.0
30.0	215.92	148.96	0.2	212.0	148.8	0.2	227.04	165.84	61.3	1331.0	4.0	0.0
301.0	228.72	150.08	82.8	221.44	150.08	68.2	234.48	158.96	84.6	140.0	8349.0	0.0
303.0	216.4	142.96	81.5	216.4	142.96	68.6	234.88	160.64	82.6	159.0	7788.0	0.0
305.0	212.8	182.08	56.0	195.92	158.96	52.3	218.72	196.64	74.6	860.0	1667.0	0.0
307.0	220.88	159.44	69.2	220.32	158.56	69.2	233.28	163.84	78.6	99.0	7186.0	0.0
309.0	192.16	192.32	63.8	191.6	162.48	43.3	236.64	193.12	72.4	1441.0	1667.0	0.0
311.0	204.88	178.16	57.6	186.48	161.04	52.2	226.88	194.24	74.3	1390.0	1667.0	0.0
313.0	200.8	153.6	60.9	200.8	151.52	60.9	228.32	171.36	72.3	179.0	1667.0	0.0
315.0	186.0	190.32	64.4	186.0	164.24	64.4	229.12	190.48	70.9	678.0	1667.0	0.0
317.0	209.92	195.84	59.0	201.76	164.32	55.9	229.12	197.92	73.9	868.0	1667.0	0.0
319.0	200.16	180.4	70.3	195.52	166.0	65.3	234.24	183.28	72.8	534.0	1667.0	0.0
32.0	157.04	165.6	5.0	156.8	165.6	5.0	174.0	184.32	54.6	953.0	2.0	0.0
321.0	202.4	143.2	56.8	176.08	130.16	5.4	204.72	147.04	58.5	454.0	1667.0	0.0
